name,location,phone,costForTwo
Kadala Tarangaa,Banashankari,+91 9743491480,600
Namma Biryani,Banashankari,+91 7619474889,250
Hotel Pork Paradise,Mysore Road,+91 8088040404,300
As On Fire,South Bangalore,+91 9731111852,400
J K Fish Land,Jayanagar,+91 9535915646,300
Curry Leaves,Basavanagudi,+91 8048666976,800
Magic Meals,Jayanagar,+91 9986281317,400
Desi Cream Junction,Jayanagar,+91 9342943356,650
Drunken Monkey,Kumaraswamy Layout,+91 9916625307,400
SGS Non Veg - Gundu Pulav,Banashankari,+91 8041147306,400
Navi Food Point,Basavanagudi,+91 9060891441,200
The Cafe Nuts and Bolts,Kumaraswamy Layout,+91 7019869484,500
AM WOW,Jayanagar,+91 9902039516,100
Lalbagh Grand,Basavanagudi,+91 8041473344,250
Funjabi Curries,Banashankari,+91 7010846043,500
Eat Repeat,Basavanagudi,+91 9945607074,150
Salut,Jayanagar,+91 8971285555,"1,200"
Nammura Donne Biriyani,Basavanagudi,+91 8049652156,400
Lassi Stop,Banashankari,+91 9342969516,150
Dakshin Kitchen,Basavanagudi,+91 nan,100
Sri Sai Cafe,Basavanagudi,+91 9900058555,200
Sri Sai 99 Variety Dosa,Banashankari,+91 8867774217,300
Utsav Restaurant,Banashankari,+91 9986874634,300
Crunch and Munch,Uttarahalli,+91 8026392882,300
Food Geek,Basavanagudi,+91 6361205115,350
Sri Krishna Aramane,Kumaraswamy Layout,+91 9611401201,200
Chats Point,Basavanagudi,+91 8660601501,150
Food Point,Kumaraswamy Layout,+91 9986138782,300
Swarga Ruchi,Basavanagudi,+91 9845912799,200
Big Mishra Pedha,Jayanagar,+91 9141474000,250
VEGeatz,Banashankari,+91 9901533200,200
Foodizo,Banashankari,+91 9742652245,300
Food Springs,Jayanagar,+91 8042010153,400
Chung's Chinese Corner,Jayanagar,+91 8026644700,700
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,+91 8022452202,"1,200"
Goli Vada Pav No. 1,Basavanagudi,+91 9845208282,200
Ragoo's,Jayanagar,+91 8026762888,800
Maiyas,Jayanagar,+91 9632411352,200
Sip n Dine,Vijay Nagar,+91 9741464017,800
Jalpaan,Jayanagar,+91 8026761992,900
Kataria's Pakwan,Kumaraswamy Layout,+91 9845089103,400
Juicy Momos,Banashankari,+91 9538550509,250
Amande Patisserie,Basavanagudi,+91 8026761080,300
Anand Sweets and Savouries,Jayanagar,+91 8022446973,400
Chicken Hunt,Banashankari,+91 8762427116,350
Swadesh Tadka,Banashankari,+91 8042151252,600
Cane-O-La,Basavanagudi,+91 8022977700,100
Karnataka Bhel House,Basavanagudi,+91 9845100870,100
Sreeraj Lassi Bar,Jayanagar,+91 8042198037,150
Bunt's Biriyani Palace,Banashankari,+91 8026697231,400
Chai Point,Jayanagar,+91 8880141000,250
Janahaar,Banashankari,+91 9740290589,100
Snacks Bite,Kumaraswamy Layout,+91 9035001878,400
Dakshin Cafe,Kumaraswamy Layout,+91 9916806236,100
Kaulige Millet Corner,Basavanagudi,+91 9845490382,150
Ifruit Ice Cream,Kumaraswamy Layout,+91 8095181740,150
Havmor,Basavanagudi,+91 9591082665,200
Grand Food,Banashankari,+91 9980340788,250
Dining Hut,Kumaraswamy Layout,+91 8660059043,400
7 Hills Garden Restaurant,Banashankari,+91 9886457657,400
Desi Swaad,Kumaraswamy Layout,+91 8548849073,400
Yummy Momos,Kumaraswamy Layout,+91 9535471685,200
Grow Fit,JP Nagar,+91 7259662169,500
The House Of Vadapav,Banashankari,+91 8884563131,150
Sandwich Hub,Jayanagar,+91 9343264000,300
Udupi Sri Krishna Cafe,Jayanagar,+91 8022440505,600
Starlite Bakery & Fastfood,Jayanagar,+91 8049653268,300
Dodda Mane Baaduta,Banashankari,+91 8618270597,250
Swadd Kitchen,Basavanagudi,+91 8042140454,500
Happy Chopsticks,Basavanagudi,+91 6361205115,300
Udupi Upachar,Banashankari,+91 8026719977,500
Davanagere Benne Dose Hut,Banashankari,+91 9632250213,100
The Sip Shop,Basavanagudi,+91 7259105885,200
Subz,Jayanagar,+91 8049652607,"1,000"
Mint and Mustard,Basavanagudi,+91 8296898737,750
Chinese Square,Basavanagudi,+91 8884889088,200
Hyderabad Express,Banashankari,+91 8892597403,300
Punjabi Raswada,Jayanagar,+91 9740105551,800
Vinny's,Banashankari,+91 8026716795,800
Chetty's Corner,Uttarahalli,+91 nan,200
Kapoor's Cafe,Jayanagar,+91 nan,800
Sukh Sagar,Jayanagar,+91 8026634132,450
S M V Snacks Corner,Basavanagudi,+91 9900511499,200
Andhra Ruchulu,Jayanagar,+91 9980909192,"1,000"
The Samosa Co,Jayanagar,+91 099645581,200
Steaming Mugs,Basavanagudi,+91 9341234538,700
Rajathadri Food Fort,Jayanagar,+91 8026539798,600
Brew Meister,Jayanagar,+91 8049652498,"1,500"
Kababs N Biryani,Banashankari,+91 9035022503,200
Ayodhya Upachar,Banashankari,+91 8026694999,200
Biriyani Mane,Jayanagar,+91 8022444614,400
Cafe Ajfan,Jayanagar,+91 7022022107,700
Brundhavana Food Point,Kumaraswamy Layout,+91 9743518909,300
SLV Corner Restaurant,Basavanagudi,+91 8049653234,550
Hotel New Karavali,Banashankari,+91 9686022651,300
The Krishna Grand,Banashankari,+91 8026711192,750
Roti Ghar,Basavanagudi,+91 8026629734,500
Kettle & Kegs,Banashankari,+91 1800300250,200
Baisakhi,Basavanagudi,+91 7204339999,500
Poonam Sweets,Banashankari,+91 8026714711,150
Amma's Pastries,Banashankari,+91 9590607750,400
The Lassi and Juice Park,Banashankari,+91 7892197270,150
Corner Stone,Banashankari,+91 9342855551,300
Arun Ice Cream,Banashankari,+91 9448736143,150
Sweet N Swirl,Banashankari,+91 9986693495,150
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,+91 8026677131,400
Baskin Robbins,Basavanagudi,+91 8041155411,250
Srinivasa Brahmins Bakery,Basavanagudi,+91 8026600983,150
Jain Bakes,Basavanagudi,+91 8041141515,250
KC Das - Sweet Spot,Basavanagudi,+91 9845173245,200
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,+91 8026621222,400
Jcubez,Banashankari,+91 9740425235,"1,300"
Ferment,Banashankari,+91 9916896096,"1,000"
Blue Wings Bar & Restaurant,Banashankari,+91 9845731913,700
New Imperial Restaurant,Banashankari,+91 8026714439,450
Karavali Fish Center,Banashankari,+91 9742503736,300
Iyer's Tiffin Centre,Banashankari,+91 9986669388,150
Kydz Adda,Banashankari,+91 9686888222,500
Food Box Cafe,Banashankari,+91 9740485877,500
Linnet Bar & Restaurant,Banashankari,+91 9686666638,500
Manifest Cafe,Banashankari,+91 6362736421,500
Taaza Thindi,Banashankari,+91 8049510845,100
Kaapi Corner,Banashankari,+91 6364830744,100
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,+91 8971691805,100
Messy Bowl,Banashankari,+91 8553453196,500
Brahmin Cafe,Banashankari,+91 9886949695,150
Hotel Mangala,Banashankari,+91 9480126092,250
Simple Thindies,Banashankari,+91 9845179532,200
SLV Swadishta,Banashankari,+91 9900166783,300
Thrilok Restaurant,Banashankari,+91 9448522042,350
Shri Guru Raghavendra Grand Veg,Banashankari,+91 9448475547,400
Hanumanthanagar Biryani Junction,Banashankari,+91 nan,300
SLV Refreshment,Banashankari,+91 9480243556,100
Sri Venkateshwara Chat Centre,Banashankari,+91 7022362603,100
Vinay Bhel Corner,Banashankari,+91 9743435083,100
Yo Roll Corner,Banashankari,+91 9008719754,200
Tasty Bites,Banashankari,+91 9844707533,150
Raams Chicken,Banashankari,+91 9743115498,300
Kavali,Banashankari,+91 9900998811,300
Ranganna Military Hotel,Jayanagar,+91 8043027346,350
Vidyarthi Bhavan,Basavanagudi,+91 8026677588,150
Bharjari Oota,Basavanagudi,+91 8026629734,350
Bridgeway,Mysore Road,+91 8026753339,550
Soho Bar & Grill,Basavanagudi,+91 8041609445,"1,100"
Bhavani Restaurant,Basavanagudi,+91 7349414217,300
Hotel Dwarka,Basavanagudi,+91 8025905217,250
Udupi Sri Krishna Bhavan,Basavanagudi,+91 8026676566,600
Ice Thunder,Basavanagudi,+91 9845366565,300
Mahalaxmi Tiffin Room,Basavanagudi,+91 8762687707,100
Basavanagudi Mylari,Basavanagudi,+91 9880623407,300
Pramukh Family Restaurant,Basavanagudi,+91 8026622484,700
Vybhava,Jayanagar,+91 8026653198,250
Shree Venkateshwara North Karnataka Hotel,Basavanagudi,+91 8971951073,200
Anand Sagar Inn,Basavanagudi,+91 8043325555,450
Sangam Military Hotel,Jayanagar,+91 9448511744,250
Belly Squad Food Truck,South Bangalore,+91 7760617526,300
Old Days North Indian Restaurant,Basavanagudi,+91 9632798245,450
Rolls Corner,Basavanagudi,+91 8904886443,150
Oasis Food Center,Basavanagudi,+91 8105575495,150
Deja Vu Resto Bar,Bannerghatta Road,+91 9632499855,900
Fattoush,Bannerghatta Road,+91 8041425553,"1,000"
Barbeque Nation,JP Nagar,+91 8064806060,"1,600"
Sattvam,JP Nagar,+91 8026595000,"1,200"
24th Main,JP Nagar,+91 9900092563,800
Zaitoon,JP Nagar,+91 8041477977,"1,000"
Mango Greens,JP Nagar,+91 9880863789,900
Oye Amritsar,JP Nagar,+91 8049577007,"1,000"
Melt - Eden Park,JP Nagar,+91 9606487102,"1,000"
Crave Bit Cafe,JP Nagar,+91 8042061006,600
Spice Code,JP Nagar,+91 9513699007,"1,000"
The Onyx - The HHI Select Bengaluru,JP Nagar,+91 9742281239,950
The Pavillion,JP Nagar,+91 8042456060,"1,000"
Tisano Cafe,Bannerghatta Road,+91 8884440087,500
Cafe Kabana,Bannerghatta Road,+91 8884044348,700
Butterly,Bannerghatta Road,+91 7338636363,450
Cafe Conico,Bannerghatta Road,+91 9747007662,600
WAFL,Bannerghatta Road,+91 8951725759,400
Vaho Kafe & Pressery,Bannerghatta Road,+91 9845687999,500
Dreamcatcher,Bannerghatta Road,+91 7090470823,600
Starbucks,Bannerghatta Road,+91 nan,700
Smoor,Bannerghatta Road,+91 9526593257,900
Kalmane Koffees,Bannerghatta Road,+91 9972900494,350
Shee-Sha Cafe,Bannerghatta Road,+91 9739533445,800
D2V Cafe,Bannerghatta Road,+91 9886986111,700
Wellness Cafe,Bannerghatta Road,+91 9900459444,400
Cafe Talk,Bannerghatta Road,+91 9739174185,700
Cafe Choco Craze,Bannerghatta Road,+91 8041713666,400
Me N U,Bannerghatta Road,+91 098866367,500
Slate Cafe,JP Nagar,+91 8040923832,600
Dialogues,JP Nagar,+91 8800946279,600
Cafe Zuppa,JP Nagar,+91 9845266234,450
Mudpipe Cafe,JP Nagar,+91 9448056565,800
TAB - Take A Break,JP Nagar,+91 9535133088,550
De Oxford Cafe,JP Nagar,+91 8048530740,500
Vinaya Coffee Moments,JP Nagar,+91 9538699211,450
Brew Point,JP Nagar,+91 9741010084,500
Anju's Cafe,JP Nagar,+91 9845036605,600
Hearts Unlock Cafe,BTM,+91 9008143437,500
eat.fit,BTM,+91 nan,500
Sai Abhiruchi,BTM,+91 8049653037,800
Capsicum Family Restaurant,BTM,+91 8049652641,800
Box Magic,Bannerghatta Road,+91 8043723392,400
Easy Bites,JP Nagar,+91 8043334321,300
Hiyar Majhe Kolkata,BTM,+91 9108919806,400
Punjabites,JP Nagar,+91 8043334321,400
Swadista Aahar,BTM,+91 9844006825,300
Al-Bek,JP Nagar,+91 8043334321,300
Punjabi Nawabi,Bannerghatta Road,+91 9916713131,400
Swad Punjab Da,BTM,+91 8360151853,150
Roti Wala,BTM,+91 9731100002,300
Midnight Mania,BTM,+91 9066022868,700
Kitchens@JP Nagar,JP Nagar,+91 8043334321,400
Krishna Kuteera,Bannerghatta Road,+91 9035011234,400
Apna Punjab,BTM,+91 7411793215,450
Paratha Junction,BTM,+91 9535673059,300
Momoz,BTM,+91 9986304455,600
Kalingas,BTM,+91 8042038180,250
Kanteen The Eatery,Bannerghatta Road,+91 8043749430,400
Kullad Cafe,BTM,+91 8861570148,200
Litti Twist,BTM,+91 8884270523,300
Cakebuy,Bannerghatta Road,+91 8496934114,350
Poha House,BTM,+91 8748866888,200
Bathinda Tandoor,BTM,+91 7899987436,300
Delight Food,BTM,+91 9739748123,450
Andhra Kitchen,Bannerghatta Road,+91 8197977737,400
Swathi Restaurant,JP Nagar,+91 8043334321,400
Fresh Kitchen,Bannerghatta Road,+91 8049652503,600
Hind Ka Chulah,Bannerghatta Road,+91 9738933467,600
Kuttanad,Bannerghatta Road,+91 9108289221,200
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,+91 9880101051,300
Shree Krishna Sannidhi,Bannerghatta Road,+91 9845629073,450
BingeJoy!,JP Nagar,+91 8197596869,100
MRA,BTM,+91 8043334333,200
Burj Hotel,Bannerghatta Road,+91 9986187737,350
Shaadi Ki Biryani,BTM,+91 8043334333,400
Madeena Hotel,Bannerghatta Road,+91 9900918687,400
Biryani Durbar,Bannerghatta Road,+91 8049652102,400
Adyar Ananda Bhavan Sweets,JP Nagar,+91 8043334321,200
Mahesh Friends Food Center,BTM,+91 9731081364,300
Dadi's Dum Biryani,Bannerghatta Road,+91 7090377777,800
Krishna Kuteera South,Bannerghatta Road,+91 8026430260,500
Alankrutha,BTM,+91 8071967536,500
Paradise,JP Nagar,+91 9513477574,800
Kabab Mehal,JP Nagar,+91 9108615502,400
Mughlai Kitchen,BTM,+91 9663197947,600
Sri Punjabi Dhaba,BTM,+91 9632537148,400
Arabian Mexico,Bannerghatta Road,+91 8045128698,400
Fujian Express,JP Nagar,+91 8043334321,200
Tandoori Paradise,BTM,+91 8049653474,600
Kolkata Kathi Rolls,JP Nagar,+91 9886034310,150
Adithya,JP Nagar,+91 8049652760,300
Cheesiano Pizza,JP Nagar,+91 8043761455,700
Le Arabia,JP Nagar,+91 8041410082,600
Dande's Hyderabad Biryani,Bannerghatta Road,+91 8041454647,700
Upahara Bhavan,Bannerghatta Road,+91 8746969469,300
Shuddh Desi Khana,Bannerghatta Road,+91 8049653152,400
Karama Restaurant,JP Nagar,+91 8043334321,400
Jaganath Hotel and Restaurant,JP Nagar,+91 8049652549,200
Mani's Dum Biryani,JP Nagar,+91 9606441698,750
Amontron,BTM,+91 9742326196,650
Birinz,BTM,+91 8197022223,700
Hyderabadi Bawarchi,Bannerghatta Road,+91 7829488222,500
Fish Chain,JP Nagar,+91 7676564444,250
Prasiddhi Food Corner,JP Nagar,+91 9448473299,200
Biriyani Bhatti,BTM,+91 7406333022,400
Hyderabad Biryaani House,Bannerghatta Road,+91 9845699901,550
